date,dead,missing,latitude,longitude
2013-05-29T05:00:40Z,1,0,52.143662,14.641902
2013-05-14T00:00:00Z,0,0,37.282956,27.088338
2013-05-01T05:00:00Z,1,0,47.36865,8.539183
2013-04-17T00:00:00Z,0,0,35.249299,-3.937112
2013-04-17T00:00:00Z,0,0,36.018776,-5.600819
2013-03-30T00:00:00Z,1,0,52.8,-2
2013-03-23T00:00:00Z,0,0,17.916944,19.116667
2013-03-15T00:00:00Z,0,0,36.018776,-5.600819
2013-03-01T00:00:00Z,0,0,36.018776,-5.600819
2013-12-13T00:00:00Z,1,0,50.409626,4.446211
2013-12-07T00:00:00Z,0,0,35.766667,-5.8
2013-11-16T00:00:00Z,0,0,38.833366,20.706911
2013-11-01T00:00:00Z,0,0,28.033886,1.659626
2013-10-11T00:00:00Z,27,0,34.7,12.7
2013-10-10T00:00:00Z,0,0,31.200092,29.918739
2013-10-02T00:00:00Z,0,0,35.508622,12.59292
2013-01-23T00:00:00Z,1,0,51.48309,-0.483529
2013-01-21T00:00:00Z,0,0,41.244376,26.135943
2013-01-17T06:00:02Z,1,0,51.942889,4.447575
2013-01-13T00:00:00Z,0,0,38.370981,26.136346
2013-01-04T06:00:00Z,1,0,47.36865,8.539183
2013-01-04T06:00:00Z,1,0,47.36865,8.539183
2012-09-30T00:00:00Z,0,0,36.527061,-6.288596
2012-09-17T00:00:00Z,0,0,35.888384,-5.324636
2012-09-16T00:00:00Z,0,0,35.939838,0.089767
2012-09-15T00:00:00Z,0,0,40.845719,25.873962
2012-09-13T00:00:00Z,0,0,35.866074,12.868741
2012-09-09T00:00:00Z,0,0,35.292278,-2.938097
2012-09-08T00:00:00Z,0,0,24.088938,32.899829
2012-09-08T00:00:00Z,0,0,51.47238,-0.45094
2012-09-06T00:00:00Z,0,0,51.488623,0.461426
2012-09-04T05:00:00Z,0,0,50.832793,9.572866
2012-08-28T00:00:00Z,0,0,35.52145,35.7924
2012-08-25T00:00:00Z,0,0,32.876174,13.187507
2012-08-22T00:00:00Z,0,0,51.47238,-0.45094
2012-08-18T00:00:00Z,0,0,26.3351,17.228331
2012-08-17T00:00:00Z,0,0,41.244376,26.135943
2012-08-15T00:00:00Z,0,0,35.937496,14.375416
2012-08-09T00:00:00Z,0,0,-12.8275,45.166244
2012-08-09T00:00:00Z,0,0,-12.8275,45.166244
2012-08-09T00:00:00Z,0,0,35.292278,-2.938097
2012-08-08T00:00:00Z,0,0,-12.8275,45.166244
2012-08-08T00:00:00Z,0,0,-12.8275,45.166244
2012-07-31T00:00:00Z,0,0,35.292278,-2.938097
